Validation_Set,Topics,Alpha,Beta,Coherence,Perplexity
75% Corpus,4,symmetric,symmetric,0.2938607766032735,-5.549235633597141
75% Corpus,4,asymmetric,0.01,0.4238901467671124,-7.271716082241477
75% Corpus,4,asymmetric,0.31,0.4546747247329215,-5.578018404725121
75% Corpus,4,asymmetric,0.61,0.4659362559674652,-5.424909411770542
75% Corpus,4,asymmetric,0.9099999999999999,0.45192473409796297,-5.378657504916191
75% Corpus,4,asymmetric,symmetric,0.45702091470134026,-5.6360749631393245
75% Corpus,5,0.01,0.01,0.2635123389977272,-6.815018619637845
75% Corpus,5,0.01,0.31,0.2914531659463113,-5.319697083678188
75% Corpus,5,0.01,0.61,0.31370349959309596,-5.255900719884511
75% Corpus,5,0.01,0.9099999999999999,0.2747010611517415,-5.250036609154649
75% Corpus,5,0.01,symmetric,0.28090323165613235,-5.311267694640087
75% Corpus,5,0.31,0.01,0.2460966489754688,-7.172611059938989
75% Corpus,5,0.31,0.31,0.24279541076487582,-5.567293409167267
75% Corpus,5,0.31,0.61,0.24637981749077573,-5.434784772192559
75% Corpus,5,0.31,0.9099999999999999,0.24382523569090347,-5.420166443033916
75% Corpus,5,0.31,symmetric,0.24055347520959333,-5.648370033357201
75% Corpus,5,0.61,0.01,0.31282619534812445,-7.28294038772583
75% Corpus,5,0.61,0.31,0.2808358003214237,-5.71715659775385
75% Corpus,5,0.61,0.61,0.2258730792493077,-5.57322919877564
75% Corpus,5,0.61,0.9099999999999999,0.2259544451668964,-5.525244435159172
75% Corpus,5,0.61,symmetric,0.2874420968351182,-5.802006390036606
75% Corpus,5,0.9099999999999999,0.01,0.24303184619132984,-7.347049816352565
75% Corpus,5,0.9099999999999999,0.31,0.22641294652356736,-5.73567541488787
75% Corpus,5,0.9099999999999999,0.61,0.26822278423751394,-5.615480877277328
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.25481680014247055,-5.583870384024411
75% Corpus,5,0.9099999999999999,symmetric,0.22444145747770436,-5.839720144504454
75% Corpus,5,symmetric,0.01,0.29021144669140136,-7.061375958163564
75% Corpus,5,symmetric,0.31,0.3140336829535574,-5.469562239036327
75% Corpus,5,symmetric,0.61,0.3578027566817798,-5.363190911528541
75% Corpus,5,symmetric,0.9099999999999999,0.38686094606451804,-5.388637430420736
75% Corpus,5,symmetric,symmetric,0.29683829542013435,-5.54265705405212
75% Corpus,5,asymmetric,0.01,0.34157137228020107,-6.986917286384396
75% Corpus,5,asymmetric,0.31,0.4263425503748387,-5.516505622282261
75% Corpus,5,asymmetric,0.61,0.4451202299333457,-5.4197448572007625
75% Corpus,5,asymmetric,0.9099999999999999,0.4279249324470801,-5.351109813262776
75% Corpus,5,asymmetric,symmetric,0.4173614059050562,-5.614553716124558
75% Corpus,6,0.01,0.01,0.3731213909286036,-7.258339634074307
75% Corpus,6,0.01,0.31,0.4032200022991703,-5.388372773622594
75% Corpus,6,0.01,0.61,0.3079189211717273,-5.295335220445583
75% Corpus,6,0.01,0.9099999999999999,0.33234782644751704,-5.282593602382737
75% Corpus,6,0.01,symmetric,0.40351891377483606,-5.519503499063232
75% Corpus,6,0.31,0.01,0.43580724498722295,-7.279283156482185
75% Corpus,6,0.31,0.31,0.4577677404131908,-5.73582597840123
75% Corpus,6,0.31,0.61,0.41933576464957784,-5.588632523650077
75% Corpus,6,0.31,0.9099999999999999,0.4143623712135392,-5.556609304939828
75% Corpus,6,0.31,symmetric,0.4116726662713263,-5.877016067504883
75% Corpus,6,0.61,0.01,0.4273967291999885,-7.426972576757756
75% Corpus,6,0.61,0.31,0.39925882868335977,-5.84543809585455
75% Corpus,6,0.61,0.61,0.35956467732659864,-5.726324322747021
75% Corpus,6,0.61,0.9099999999999999,0.3900758382334946,-5.6576081452573215
75% Corpus,6,0.61,symmetric,0.40915939425281644,-5.983493270670495
75% Corpus,6,0.9099999999999999,0.01,0.43004048999200006,-7.510608969665155
75% Corpus,6,0.9099999999999999,0.31,0.3448228042378168,-5.899463024081253
75% Corpus,6,0.9099999999999999,0.61,0.34227022253339606,-5.723484387848435
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.38245451075658093,-5.699529782301042
75% Corpus,6,0.9099999999999999,symmetric,0.3975804157092227,-6.063246062616023
75% Corpus,6,symmetric,0.01,0.46621797880335075,-7.192927906425988
75% Corpus,6,symmetric,0.31,0.4546229090197276,-5.667210679955598
75% Corpus,6,symmetric,0.61,0.38295616870980304,-5.472229319374736
75% Corpus,6,symmetric,0.9099999999999999,0.2989513884492167,-5.446995981946224
75% Corpus,6,symmetric,symmetric,0.4490727128727587,-5.798293599268285
75% Corpus,6,asymmetric,0.01,0.4164650337981086,-7.013695767013038
75% Corpus,6,asymmetric,0.31,0.4386551618885825,-5.543434651159659
75% Corpus,6,asymmetric,0.61,0.4904767097387639,-5.479083630733374
75% Corpus,6,asymmetric,0.9099999999999999,0.4818097115431293,-5.421528335751557
75% Corpus,6,asymmetric,symmetric,0.44054397946931906,-5.716307434730414
75% Corpus,7,0.01,0.01,0.3670606167025622,-6.913286636151919
75% Corpus,7,0.01,0.31,0.3718775694763486,-5.4623336909884
75% Corpus,7,0.01,0.61,0.3341888234415616,-5.340176777300856
75% Corpus,7,0.01,0.9099999999999999,0.3251329662674965,-5.3055239286410005
75% Corpus,7,0.01,symmetric,0.34325748954377483,-5.670032777937084
75% Corpus,7,0.31,0.01,0.39533039802589515,-7.170714772329098
75% Corpus,7,0.31,0.31,0.40897371524671305,-5.767541950432266
75% Corpus,7,0.31,0.61,0.43975525686121203,-5.666017350990598
75% Corpus,7,0.31,0.9099999999999999,0.41649593697929116,-5.630121066802886
75% Corpus,7,0.31,symmetric,0.40272937727154556,-5.9305877769138755
75% Corpus,7,0.61,0.01,0.4050596921070099,-7.337023312725672
75% Corpus,7,0.61,0.31,0.40644072535154957,-5.899583793267971
75% Corpus,7,0.61,0.61,0.37676517979693097,-5.783217099745099
75% Corpus,7,0.61,0.9099999999999999,0.3854813680443696,-5.724705375367549
75% Corpus,7,0.61,symmetric,0.401011351052161,-6.0461815784617166
75% Corpus,7,0.9099999999999999,0.01,0.4108421973418012,-7.613548225019036
75% Corpus,7,0.9099999999999999,0.31,0.3535608325288605,-5.995423642963898
75% Corpus,7,0.9099999999999999,0.61,0.3461098060949683,-5.8359133052389796
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.46697797966201376,-5.807249913400993
75% Corpus,7,0.9099999999999999,symmetric,0.40683563066841294,-6.202537409416059
75% Corpus,7,symmetric,0.01,0.4481898848309099,-7.2830140012793425
75% Corpus,7,symmetric,0.31,0.43047260397597065,-5.622453249809219
75% Corpus,7,symmetric,0.61,0.4186389781348577,-5.518209341459158
75% Corpus,7,symmetric,0.9099999999999999,0.38004156326172644,-5.479783229711579
75% Corpus,7,symmetric,symmetric,0.4501289026633682,-5.821922227740288
75% Corpus,7,asymmetric,0.01,0.44150096343439416,-7.217691845646718
75% Corpus,7,asymmetric,0.31,0.4347895041658205,-5.559609474568832
75% Corpus,7,asymmetric,0.61,0.4204266045848749,-5.477052413835758
75% Corpus,7,asymmetric,0.9099999999999999,0.4227440021108347,-5.389235349326599
75% Corpus,7,asymmetric,symmetric,0.4244630224075442,-5.715013432430058
75% Corpus,8,0.01,0.01,0.32741184769904147,-6.786068161722364
75% Corpus,8,0.01,0.31,0.32013999052331543,-5.406077083336507
75% Corpus,8,0.01,0.61,0.3679498693571687,-5.34474420020493
75% Corpus,8,0.01,0.9099999999999999,0.34976802696175596,-5.3258830056775635
75% Corpus,8,0.01,symmetric,0.36936701244260794,-5.560151709334516
75% Corpus,8,0.31,0.01,0.40039192050828787,-7.311453878879547
75% Corpus,8,0.31,0.31,0.37908888899136156,-5.8086526993571255
75% Corpus,8,0.31,0.61,0.40163591757628686,-5.723553020052794
75% Corpus,8,0.31,0.9099999999999999,0.38016928844589687,-5.672521821609357
75% Corpus,8,0.31,symmetric,0.38390591756006476,-5.977916683365659
75% Corpus,8,0.61,0.01,0.4253864933569923,-7.392799350546627
75% Corpus,8,0.61,0.31,0.42636346275307574,-5.943944023149769
75% Corpus,8,0.61,0.61,0.4108272083224652,-5.836802426271323
75% Corpus,8,0.61,0.9099999999999999,0.36973448880427107,-5.787718660947753
75% Corpus,8,0.61,symmetric,0.43812342862323406,-6.105346146153241
75% Corpus,8,0.9099999999999999,0.01,0.44982158867147753,-7.48603838100666
75% Corpus,8,0.9099999999999999,0.31,0.4104761666546414,-6.035327458163587
75% Corpus,8,0.9099999999999999,0.61,0.38120955335494444,-5.963993737792096
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.5018245818577054,-5.9050433066923445
75% Corpus,8,0.9099999999999999,symmetric,0.43670702054784516,-6.225022006325606
75% Corpus,8,symmetric,0.01,0.415576384881361,-7.195924954806886
75% Corpus,8,symmetric,0.31,0.3298869033149289,-5.563169218781518
75% Corpus,8,symmetric,0.61,0.310705502990535,-5.5090119566132385
75% Corpus,8,symmetric,0.9099999999999999,0.3589640262792753,-5.4923750805418665
75% Corpus,8,symmetric,symmetric,0.4203236814927724,-5.837283219142658
75% Corpus,8,asymmetric,0.01,0.36308767594166025,-7.04849314907702
75% Corpus,8,asymmetric,0.31,0.4063193839430439,-5.557846706451439
75% Corpus,8,asymmetric,0.61,0.43222627541065217,-5.507133256734871
75% Corpus,8,asymmetric,0.9099999999999999,0.4416357200852045,-5.473385009460333
75% Corpus,8,asymmetric,symmetric,0.31493877154154354,-5.734962325634026
75% Corpus,9,0.01,0.01,0.3355119843519056,-7.107068139605406
75% Corpus,9,0.01,0.31,0.319721935587708,-5.464641513984378
75% Corpus,9,0.01,0.61,0.3220087191328973,-5.37085513611574
75% Corpus,9,0.01,0.9099999999999999,0.3185154870962572,-5.333823429511451
75% Corpus,9,0.01,symmetric,0.32397095350615357,-5.757210731460917
75% Corpus,9,0.31,0.01,0.41791472003917046,-7.516515258608795
75% Corpus,9,0.31,0.31,0.45604625377144953,-5.849333856163955
75% Corpus,9,0.31,0.61,0.4562978111588005,-5.763224457095309
75% Corpus,9,0.31,0.9099999999999999,0.46390313280597995,-5.732853365017147
75% Corpus,9,0.31,symmetric,0.4072318364727573,-6.151962764379455
75% Corpus,9,0.61,0.01,0.44168704336115233,-7.366685314512834
75% Corpus,9,0.61,0.31,0.4197143757818839,-5.971562474966049
75% Corpus,9,0.61,0.61,0.43290750594220034,-5.854838474494655
75% Corpus,9,0.61,0.9099999999999999,0.41579847041983065,-5.822115725133477
75% Corpus,9,0.61,symmetric,0.44201061707482486,-6.243535946418599
75% Corpus,9,0.9099999999999999,0.01,0.45634077416936336,-7.521158666872397
75% Corpus,9,0.9099999999999999,0.31,0.3952240132228171,-6.084685613105937
75% Corpus,9,0.9099999999999999,0.61,0.43847782372720284,-6.028901915452102
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.5198367022412647,-5.943968634552708
75% Corpus,9,0.9099999999999999,symmetric,0.42905749226155154,-6.33118242970327
75% Corpus,9,symmetric,0.01,0.4740538182186573,-7.278190232631637
75% Corpus,9,symmetric,0.31,0.438969018020337,-5.655175444556446
75% Corpus,9,symmetric,0.61,0.44044409563325865,-5.553725517741063
75% Corpus,9,symmetric,0.9099999999999999,0.4209505912104897,-5.516966835391231
75% Corpus,9,symmetric,symmetric,0.4861631254040169,-5.928336836942813
75% Corpus,9,asymmetric,0.01,0.4473382261321578,-7.203089474904828
75% Corpus,9,asymmetric,0.31,0.3831327896218327,-5.541854782438859
75% Corpus,9,asymmetric,0.61,0.37206316974133946,-5.4943779448910455
75% Corpus,9,asymmetric,0.9099999999999999,0.38444250872140173,-5.470903518723278
75% Corpus,9,asymmetric,symmetric,0.4025068298681518,-5.872483095381318
75% Corpus,10,0.01,0.01,0.351289051222875,-6.768076582016741
75% Corpus,10,0.01,0.31,0.3566588829215979,-5.381807662228622
75% Corpus,10,0.01,0.61,0.3426967097777748,-5.33170988865015
75% Corpus,10,0.01,0.9099999999999999,0.32321598521484696,-5.314133094532824
75% Corpus,10,0.01,symmetric,0.34552009014852697,-5.67502500966373
75% Corpus,10,0.31,0.01,0.4306070004664847,-7.290867633208996
75% Corpus,10,0.31,0.31,0.4191513635836145,-5.882597743737988
75% Corpus,10,0.31,0.61,0.43964029019587897,-5.789468291329174
75% Corpus,10,0.31,0.9099999999999999,0.43291852627721844,-5.761260899465259
75% Corpus,10,0.31,symmetric,0.41885958270594426,-6.114643951378217
75% Corpus,10,0.61,0.01,0.4495982793605993,-7.412033824113811
75% Corpus,10,0.61,0.31,0.4592933733707037,-6.0112122726149675
75% Corpus,10,0.61,0.61,0.4483238961583882,-5.913056028052801
75% Corpus,10,0.61,0.9099999999999999,0.3402645932992857,-5.876444186742713
75% Corpus,10,0.61,symmetric,0.4482858739150025,-6.3174243807429225
75% Corpus,10,0.9099999999999999,0.01,0.47000194471755413,-7.566265641189203
75% Corpus,10,0.9099999999999999,0.31,0.42466681351594887,-6.156011455079041
75% Corpus,10,0.9099999999999999,0.61,0.5063948127073377,-6.1566690511819795
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.5304492399452257,-5.971430138389512
75% Corpus,10,0.9099999999999999,symmetric,0.45024501918285803,-6.404503537387383
75% Corpus,10,symmetric,0.01,0.432370575158515,-6.9239762847016495
75% Corpus,10,symmetric,0.31,0.4428470622702802,-5.597392522707218
75% Corpus,10,symmetric,0.61,0.45448953139480874,-5.503105097064158
75% Corpus,10,symmetric,0.9099999999999999,0.39470501013432896,-5.4911853736493645
75% Corpus,10,symmetric,symmetric,0.45617264786436607,-5.846428111559007
75% Corpus,10,asymmetric,0.01,0.38244674192571215,-6.996693451230119
75% Corpus,10,asymmetric,0.31,0.32398083855346926,-5.599544551314377
75% Corpus,10,asymmetric,0.61,0.34464220542997265,-5.508189397250733
75% Corpus,10,asymmetric,0.9099999999999999,0.37390975163179024,-5.4860207638362555
75% Corpus,10,asymmetric,symmetric,0.38799165623378906,-5.876272548989552
100% Corpus,2,0.01,0.01,0.41722240943912936,-7.426013597087668
100% Corpus,2,0.01,0.31,0.5144162102160943,-5.47360730087634
100% Corpus,2,0.01,0.61,0.5250736543339445,-5.30107896185031
100% Corpus,2,0.01,0.9099999999999999,0.47673760041302327,-5.220274339342723
100% Corpus,2,0.01,symmetric,0.5086434287630598,-5.339956389989571
100% Corpus,2,0.31,0.01,0.519926379602303,-7.489951500802168
100% Corpus,2,0.31,0.31,0.4853614998617948,-5.5476154525365144
100% Corpus,2,0.31,0.61,0.4989923410661738,-5.382036980507629
100% Corpus,2,0.31,0.9099999999999999,0.47481264607532325,-5.311291010917297
100% Corpus,2,0.31,symmetric,0.4914105589746861,-5.422985026745924
100% Corpus,2,0.61,0.01,0.4479516122614209,-7.531873344310692
100% Corpus,2,0.61,0.31,0.47242292374163775,-5.589210997734751
100% Corpus,2,0.61,0.61,0.47856846115682483,-5.419561819838626
100% Corpus,2,0.61,0.9099999999999999,0.47520587561532446,-5.353133161153112
100% Corpus,2,0.61,symmetric,0.47856846115682483,-5.461378059216908
100% Corpus,2,0.9099999999999999,0.01,0.46988631855685437,-7.552874420370374
100% Corpus,2,0.9099999999999999,0.31,0.4587746569290286,-5.6071822084486485
100% Corpus,2,0.9099999999999999,0.61,0.44092343262447853,-5.436808180596147
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.44092343262447853,-5.367635055844273
100% Corpus,2,0.9099999999999999,symmetric,0.44092343262447853,-5.479372005377497
100% Corpus,2,symmetric,0.01,0.4818119155666402,-7.500884644021945
100% Corpus,2,symmetric,0.31,0.4879245439323159,-5.575604508231793
100% Corpus,2,symmetric,0.61,0.4879245439323159,-5.407571206667593
100% Corpus,2,symmetric,0.9099999999999999,0.4825259151182937,-5.342416272099529
100% Corpus,2,symmetric,symmetric,0.4879245439323159,-5.448895685906921
100% Corpus,2,asymmetric,0.01,0.4955425476694102,-7.53020207796778
100% Corpus,2,asymmetric,0.31,0.4045006002324454,-5.595072560677571
100% Corpus,2,asymmetric,0.61,0.38916316788647237,-5.409427746332118
100% Corpus,2,asymmetric,0.9099999999999999,0.38916316788647237,-5.3313295646969765
100% Corpus,2,asymmetric,symmetric,0.4019275726247164,-5.456309859241758
100% Corpus,3,0.01,0.01,0.467337011066767,-7.468767082027625
100% Corpus,3,0.01,0.31,0.46994522636533453,-5.4636843491960985
100% Corpus,3,0.01,0.61,0.46767403624259013,-5.316710123193583
100% Corpus,3,0.01,0.9099999999999999,0.4267419576833686,-5.272252275857942
100% Corpus,3,0.01,symmetric,0.4196241764778154,-5.423079905856866
100% Corpus,3,0.31,0.01,0.4268979952728598,-7.414044887891838
100% Corpus,3,0.31,0.31,0.43794751827920936,-5.574661283886859
100% Corpus,3,0.31,0.61,0.4536256501177944,-5.449718198339854
100% Corpus,3,0.31,0.9099999999999999,0.48952865007558155,-5.403093657589385
100% Corpus,3,0.31,symmetric,0.42861665068073657,-5.574218276888132
100% Corpus,3,0.61,0.01,0.3779510713950671,-7.388943157025746
100% Corpus,3,0.61,0.31,0.38740044011206126,-5.605694544102464
100% Corpus,3,0.61,0.61,0.3570934971065928,-5.461138027054923
100% Corpus,3,0.61,0.9099999999999999,0.34415613898729785,-5.401877400598356
100% Corpus,3,0.61,symmetric,0.38740044011206126,-5.572632772581918
100% Corpus,3,0.9099999999999999,0.01,0.43340104630272674,-7.473012090793678
100% Corpus,3,0.9099999999999999,0.31,0.3819073530689933,-5.639188289642334
100% Corpus,3,0.9099999999999999,0.61,0.357295655012383,-5.496380984783173
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.3700269455225815,-5.4340755859656
100% Corpus,3,0.9099999999999999,symmetric,0.3819073530689933,-5.622281541249582
100% Corpus,3,symmetric,0.01,0.4075188730257871,-7.401015627064875
100% Corpus,3,symmetric,0.31,0.3846718755415357,-5.547107593821628
100% Corpus,3,symmetric,0.61,0.4174910395019115,-5.428753672699843
100% Corpus,3,symmetric,0.9099999999999999,0.46636988633150045,-5.392647674573319
100% Corpus,3,symmetric,symmetric,0.3846718755415357,-5.52916385818805
100% Corpus,3,asymmetric,0.01,0.376287733727451,-7.331545443007989
100% Corpus,3,asymmetric,0.31,0.37126457119678563,-5.596905614382455
100% Corpus,3,asymmetric,0.61,0.4363534318696172,-5.432209586724639
100% Corpus,3,asymmetric,0.9099999999999999,0.4203057782300102,-5.395077080066715
100% Corpus,3,asymmetric,symmetric,0.37126457119678563,-5.575697825157216
100% Corpus,4,0.01,0.01,0.367749195202258,-7.126559512872648
100% Corpus,4,0.01,0.31,0.33427364037536866,-5.4392800975141915
100% Corpus,4,0.01,0.61,0.3914020316736706,-5.317795847733838
100% Corpus,4,0.01,0.9099999999999999,0.3300370945502975,-5.273476341514781
100% Corpus,4,0.01,symmetric,0.32522624740604816,-5.463483911115743
100% Corpus,4,0.31,0.01,0.33560978579255085,-7.301965866237879
100% Corpus,4,0.31,0.31,0.27728506626475935,-5.561782876295703
100% Corpus,4,0.31,0.61,0.28233504520405167,-5.459429373698575
100% Corpus,4,0.31,0.9099999999999999,0.30212109861048814,-5.425943730665105
100% Corpus,4,0.31,symmetric,0.27767390780033596,-5.629241729155183
100% Corpus,4,0.61,0.01,0.31176868385057177,-7.337729923959289
100% Corpus,4,0.61,0.31,0.28846064542649713,-5.636120210268667
100% Corpus,4,0.61,0.61,0.2707497554374357,-5.526783740946224
100% Corpus,4,0.61,0.9099999999999999,0.2916534658741375,-5.482088529105697
100% Corpus,4,0.61,symmetric,0.3187725990220731,-5.710439431880202
100% Corpus,4,0.9099999999999999,0.01,0.32602977509732267,-7.4443109812481065
100% Corpus,4,0.9099999999999999,0.31,0.2816134961029245,-5.703582732805184
100% Corpus,4,0.9099999999999999,0.61,0.2832342065273825,-5.574270320790155
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.2870709606759524,-5.53526043306504
100% Corpus,4,0.9099999999999999,symmetric,0.28954060783616997,-5.753454184957913
100% Corpus,4,symmetric,0.01,0.3501297177477693,-7.301341727908168
100% Corpus,4,symmetric,0.31,0.27728506626475935,-5.534126420638391
100% Corpus,4,symmetric,0.61,0.2860678579676966,-5.435814769938588
100% Corpus,4,symmetric,0.9099999999999999,0.3634998323401235,-5.4024281068039794
100% Corpus,4,symmetric,symmetric,0.27922068494127855,-5.581763055175543
100% Corpus,4,asymmetric,0.01,0.3322839777759996,-7.318582005798817
100% Corpus,4,asymmetric,0.31,0.3638723294410015,-5.6180315017700195
100% Corpus,4,asymmetric,0.61,0.38892969626749213,-5.4707534448908905
100% Corpus,4,asymmetric,0.9099999999999999,0.4286873219838828,-5.412650365914617
100% Corpus,4,asymmetric,symmetric,0.36387232944100134,-5.680787840059826
100% Corpus,5,0.01,0.01,0.3102334110308732,-7.000975083393444
100% Corpus,5,0.01,0.31,0.3105985056822293,-5.36511037400591
100% Corpus,5,0.01,0.61,0.285939412988595,-5.28063849015494
100% Corpus,5,0.01,0.9099999999999999,0.3110580974018145,-5.264668590538869
100% Corpus,5,0.01,symmetric,0.2733060132016096,-5.4101277954510545
100% Corpus,5,0.31,0.01,0.2968453722116931,-7.232771481254271
100% Corpus,5,0.31,0.31,0.2867845166893629,-5.579770375043154
100% Corpus,5,0.31,0.61,0.23868839303755385,-5.473941361265523
100% Corpus,5,0.31,0.9099999999999999,0.2420775026198326,-5.43317899959428
100% Corpus,5,0.31,symmetric,0.2625135187471283,-5.662758754832404
