Region,area,TasaXenofobia,XenofobiaDepartamento,MigracionDepartamento
Arequipa,4,11.585366,2.275449,1.9114219
Cusco,8,18.965517,1.3173653,.6759907
La Libertad,13,5.7766366,2.6946108,4.5396271
Lambayeque,14,11.904762,1.1976048,.97902095
Lima Province,15,9.8691416,91.676643,90.4021
Piura,20,5.46875,.83832335,1.4918414
