Region,XenofobiaDepartamento,MigracionDepartamento,TasaXenofobia,Informe
Valle del Cauca,7.413213729858398,5.93800687789917,15.331172,1
Caldas,.7614781856536865,.5363183617591858,17.435898,1
Resto,19.8432250097394,22.55562618374825,,1
Antioquia,13.05711078643799,11.60372924804688,13.81844,1
Quindío,.5375139713287354,.4263043403625488,15.483871,1
Bogota,58.38745880126953,58.94001388549805,12.165189,1
Bolívar,.9854423403739929,2.282791137695313,5.3012047,0
Cesar,1.209406495094299,1.251409530639648,11.868132,0
Boyacá,.4927211701869965,.6600841879844666,9.166667,0
Nariño,.2239641696214676,.3190406858921051,8.6206894,0
Norte de Santander,1.814109683036804,3.275667667388916,6.8010077,0
Santander,3.202687501907349,3.245413780212402,12.118644,0
Atlántico,6.00223970413208,4.936879634857178,14.930362,0
Tolima,.7614781856536865,.6793366074562073,13.765182,0
Meta,.9854423403739929,.9241178035736084,13.095238,0
Risaralda,.9182530641555786,1.056134700775146,10.677083,0
La Guajira,.201567754149437,.5170659422874451,4.7872338,0
Huila,.2911534011363983,.3877994418144226,9.2198582,0
Cundinamarca,.671892523765564,.6325806379318237,13.043478,0
Casanare,.0895856693387032,.4015511870384216,2.7397261,0
Córdoba,.8286674022674561,.7948513627052307,12.802768,0
Magdalena,1.164613604545593,1.190901875495911,12.009238,0
