level;parent_id;object_id;facebook_post;object_type;message;created_time;like_count;comment_count
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;🙏😍😍😍😍😍😍🙏🙏🙏🙏🙏;2023-11-08T18:40:47+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Donde se encuentra que hace;2023-11-08T22:08:52+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Que preciosa que Dios te bendiga reina;2023-11-09T00:42:34+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Wera biyame mu yabawera.;2023-11-09T14:55:43+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hola linda bbbbbbbbb ❤️;2023-11-09T15:28:32+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hl;2023-11-09T16:24:03+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Muy linda 🥰;2023-11-09T17:02:32+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermosa;2023-11-09T20:48:44+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermosa;2023-11-10T01:01:12+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;chica Panameña 😍🇵🇦;2023-11-10T05:23:21+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Me caso preciosa;2023-11-10T17:29:21+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Me gusta mucho bendicion 🙏;2023-11-11T14:15:22+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Muy hermosas felicidades;2023-11-12T00:17:27+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Mami;2023-11-12T01:30:34+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Lula Rusilowiez;2023-11-12T03:55:49+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Que linda 😘;2023-11-12T11:59:03+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Wow que hermosa 😍😘😍😘;2023-11-13T03:48:26+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Y nosotros tenemos este mandamiento de él: El que ama a Dios, ame también a su hermano. 1 Juan 4:21;2023-11-13T12:35:45+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Que linda ❤️❤️;2023-11-13T15:20:18+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Yury Cunampia  es usted verdad?;2023-11-13T16:06:08+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Ermosa;2023-11-13T18:41:57+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Guaubebeermosaessoteaesxibame;2023-11-14T13:02:33+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Escríbame;2023-11-14T13:06:22+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Propaganda intervencionista y de apropiación cultural. Éstos son los mismos que penetran ideológicamente países y comunidades originarias, pagan mercenarios golpistas, financian ONG's dedicadas a romper las institucionalidad es de los países, forman operadores políticos golpistas de extrema derecha... Ahorita, financian las bombas israHELLíes que asesinan niños Palestinos. Agencia encubierta de propaganda y agitación del fascismo eeuuropeo...;2023-11-14T15:53:01+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Qué imbecibilidad, qué inocencia...;2023-11-14T15:54:27+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;SALUDO SALUDO DESDE LA COMARCA NGOBE BUGLE HERMOSA Y PRESERVANDO LA CULTURA SALUDO;2023-11-15T12:04:05+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Me gusta linda;2023-11-15T21:41:54+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;;2023-11-17T19:37:55+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Q belleza 😍 💕 ♥️;2023-11-17T20:00:41+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Linda;2023-11-17T20:09:21+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Muy interesante 😊;2023-11-17T22:50:05+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hola;2023-11-19T01:14:45+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermosa;2023-11-19T09:45:13+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Hermosa;2023-11-19T15:20:18+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Boa noite;2023-11-19T21:37:56+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Bellísima 😲🌠;2023-11-20T15:54:22+0000;0;0
2;42;1070932163028885_656046963337156;https://www.facebook.com/watch/?v=1003567064258334;data;Saludos a la chica desde panamá 🇵🇦. 👋🏼🙂;2023-11-20T16:58:38+0000;1;0
1;1;1070932163028885_663154115959774;https://www.facebook.com/acdivocacolombiaoficial/videos/1055070445837971/;data;🤔¿Alguna vez te has preguntado si has tenido comportamientos racistas sin darte cuenta?🤔  Nosotros queremos invitarte a subirle el volumen a todo lo que se dice en susurro sobre #AfroColombia, subirle el volumen al #Cuchicheo ¿Te le mides? Acompáñanos en #Cuchicheo Mira el episodio 4 aquí Nos acompañan, el historiador, escritor y columnista Javier Ortiz Cassiani y el artista plástico, director y presentador #SantiagoRivas para hablar de racismo.   ¡Déjanos tus comentarios y sé parte de la conversación!  USAID Colombia #ACDIVOCA_Colombia #JuntanzaÉtnica La Escuela Digital Cimarrón Producciones;2/11/2023;;
2;18;1070932163028885_663154115959774;https://www.facebook.com/acdivocacolombiaoficial/videos/1055070445837971/;data;"Muchas gracias. Es un camino largo como se dice; sin embargo hay pasos muy importantes que se vienen dando poco a poco. ¿Y como no avanzar cuando está encabezado por las mujeres? . Saludos cordiales";2023-11-04T20:01:21+0000;0;0
2;18;1070932163028885_663154115959774;https://www.facebook.com/acdivocacolombiaoficial/videos/1055070445837971/;data;Pocoton de resentidos... Todo les parece rascismo... Incluso las tonterías q hacen y dicen las justifican en el color... Ahora está gente defendiendo al tonto de polo polo aduciendo rascismo... Q ignorancia q fastidio.;2023-11-12T19:32:28+0000;0;0
1;1;1070932163028885_669114952030357;https://www.facebook.com/photo/?fbid=669114935363692&set=a.572847111657142;data;#MayraLuna, Kendry Serrano  y Bertha Medrano Cancio  están listas para un nuevo #Cuchicheo, el tema: representación y las invitadas: la periodista María Paulina Baena María Paulina Baena  y la activista y educadora afro feminista #Carolinaafrofémina .  ¿Nos acompañas? Nos vemos a las 5:00 p.m. por el canal de Youtube de USAID Colombia : https://www.youtube.com/@USAIDColombiaVideo   La Escuela Digital Cimarrón Producciones   #AfroColombia #AfroHair #Afrodance #JuntanzaÉtnica;14/11/2023;;
2;4;1070932163028885_669114952030357;https://www.facebook.com/photo/?fbid=669114935363692&set=a.572847111657142;data;Guaoooo divinas !!!;2023-11-15T01:57:01+0000;0;0
1;1;-;https://www.facebook.com/acdivocacolombiaoficial/videos/693518139492877/;data;Sin Comentarios;28/09/2023;0;0
1;1;-;https://www.facebook.com/acdivocacolombiaoficial/videos/308756071896512/;data;Sin Comentarios;11/10/2023;0;0
1;1;-;https://www.facebook.com/acdivocacolombiaoficial/videos/852794343086526/;data;Sin Comentarios;12/10/2023;0;0
1;1;-;https://www.facebook.com/acdivocacolombiaoficial/videos/1485428552237753/;data;Sin Comentarios;12/10/2023;0;0
1;1;-;https://www.facebook.com/acdivocacolombiaoficial/videos/1362930974432320/;data;Sin Comentarios;13/10/2023;0;0
1;1;-;https://www.facebook.com/acdivocacolombiaoficial/videos/140147095822876/;data;Sin Comentarios;13/10/2023;0;0
1;1;-;https://www.facebook.com/photo/?fbid=658316993110153&set=a.572847111657142;data;Sin Comentarios;24/10/2023;0;0
1;1;-;https://www.facebook.com/acdivocacolombiaoficial/videos/992129745185040/;data;Sin Comentarios;25/10/2023;0;0
1;1;-;https://fb.watch/nv_K-_GUan/;data;Errores Link;22/09/2023;0;0
1;1;-;https://fb.watch/nv_N8dyQo1/;data;Errores Link;25/09/2023;0;0
1;1;-;https://fb.watch/nv-DLZkEpm/;data;Errores Link;26/09/2023;0;0
1;1;-;https://fb.watch/nv-StXxD0Y/;data;Errores Link;27/09/2023;0;0
1;1;-;https://fb.watch/nv-TAIRLVL/;data;Errores Link;27/09/2023;0;0
1;1;-;https://fb.watch/nv-VMarmAB/;data;Errores Link;28/09/2023;0;0
;;;;;;;;
;;;;;;;;
