Region,area,TasaXenofobia,XenofobiaDepartamento,MigracionDepartamento
Arequipa,4,13.650794,2.0772946,1.9736842
Cusco,8,23.30097,1.1594203,.64536339
La Libertad,13,6.5312047,2.173913,4.3170428
Lambayeque,14,26.190475,1.5942029,.78947371
Lima Province,15,13.078402,92.028984,91.265663
Piura,20,12.42236,.9661836,1.0087719
