Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Theme
Twitter,https://twitter.com/TellezMague/statuses/1501383026957246469,TellezMague,3/8/2022 9:23 pm,La más reciente obra de Sofi Prieto en Pinto ARTE en Pinto ARTE https://t.co/kE9sB6RZd1,Message,Link,86,0,"Chihuahua, Chihuahua, Mexico",
Twitter,https://twitter.com/ECSL_Diputados/statuses/1501380313653645316,ECSL_Diputados,3/8/2022 9:12 pm,"Este #8M, el Palacio Legislativo de San Lázaro se ilumina de morado para conmemorar el Día Internacional de la Mujer.En la Cámara de Diputados trabajamos para alcanzar una igualdad sustantiva en todo el país y garantizar una vida libre de violencia y de discriminación. https://t.co/4Dj0zHmksK",Message,Photo,163,23,"Venustiano Carranza, Mexico City, Mexico",Género
Twitter,https://twitter.com/MarvinCarrera13/statuses/1501379855589404686,MarvinCarrera13,3/8/2022 9:10 pm,"Guatemala racista, misógina y homofóbica de mierda. https://t.co/vIvJNdmMyU | QT: 🚨| En el marco del Día de la Mujer con 102 votos a favor, el Pleno del @CongresoGuate aprueba la Ley 5272: Protección de la Vida y la Familia.

Una ley que vulnera derechos fundamentales de mujeres y miembros/as de la comunidad LGBTIQ+. https://t.co/8eavxRfWTh",Message,Link,791,0,"Paradise, Nevada, United States",Género
Instagram,https://www.instagram.com/p/Ca3Z02CIIk6/,,3/8/2022 9:05 pm,"Querida sociedad fallamos una y otra vez en los mismo, el patriarcado tiene que caer, la leyes tienen que cambiar, defender a las víctimas y no la agresor! ♀️🏳️‍🌈
#8m #feminismo #niunamenos #racismo #homofobia #machismo #igualdad #lgtb",Message,Photo,0,22,,
Twitter,https://twitter.com/GloriaGP04/statuses/1501378583385808897,GloriaGP04,3/8/2022 9:05 pm,"Eso pasa cuándo apoyas a un merólico desquiciado resentido e ignorante.
Los crédulos qué votaron por un dictadorsucho bananero dueño de una jauría de morenistas que como ratas voraces saquean a México. https://t.co/h9NMHA4ftd | QT: Está clarísimo desde hace 3 años que nos quieren quitar los sueños, la vida, la infancia. En que momento decidiero que les pertenecía. Carajo es nuestro país",Message,Link,750,0,Mexico,Backlash
Twitter,https://twitter.com/JorgBlumen/statuses/1501377239358738438,JorgBlumen,3/8/2022 9:00 pm,"Mira pendejo tu mides como 1.50 mts.
No tienes piernas ni nalgas, estás feo y prieto, y para terminar, porque juzgas, no me conoces, no te enseñaron respeto en tu casa?
Que no sabes que uno no debe entablar conversación con desconocidos... #Envidioso tú eres marica",Mention,Text Only,2596,1,"Miguel Aleman (La Doce), Sonora, Mexico",
Twitter,https://twitter.com/Guadalulpegmai3/statuses/1501376996521263106,Guadalulpegmai3,3/8/2022 8:59 pm,SarahBrown_offi Mami tesoro negro muy caliente tu cozita pero tu aniyito prieto rico,Mention,Text Only,83,0,"Ciudad Victoria, Tamaulipas, Mexico",
Twitter,https://twitter.com/ExploraPuebla/statuses/1501371371779244035,ExploraPuebla,3/8/2022 8:36 pm,"Igualdad para todas las mujeres y una vida sin discriminación por motivos de género.

#UsaCubrebocas
#8Marzo2022
#Diadelamujer
#8MPuebla 

¡CUIDÁNDOTE y siendo RESPONSABLE!

Anímate #ExploraPuebla no te arrepentirás.
📸: Christian Berlio. https://t.co/Z1tlprgcfH",Message,Photo,7152,26,"Casa Blanca, Puebla, Mexico",Género
Twitter,https://twitter.com/HeraBenavides/statuses/1501371356885270529,HeraBenavides,3/8/2022 8:36 pm,"LIBRESYLOKOS @TUDNMEX Generan enagenación, fueran como la afición del @StPauliFans sería otra historia, pero aquí está lleno de homofobos, fascistas, clasistas e ignaros en las directivas.",Mention,Text Only,499,0,"Monterrey, Nuevo León, Mexico",Sexodiversidad
Instagram,https://www.instagram.com/p/Ca3T8tysg4p/,,3/8/2022 8:14 pm,"Todo inicia con el respeto hacia mi misma. 

No estas sola, #YositeCREO

#niunamas
#8marzo #women #niunamas #abajoelpatriarcado #racismo #acosocallejero #feminicidio #yositecreo #micromachismos #mujerteníaqueser #frases",Message,Photo,0,5,,
Twitter,https://twitter.com/aresendiz28_14/statuses/1501362158671646724,aresendiz28_14,3/8/2022 8:00 pm,"laoctavadigital @IPN_MX @LoreeJimeenez Estás mujeres en sus casas no han de hacer nada  y aquí muy metidas con el movimiento con el viejo truco indio.
Pero un cartel de una mujer perdida pero lo que le interesa es pintar paredes de.orooiedad ajena.
Que solo pegue el cartél y que se valla a pintar su casa o la de madre",Mention,Text Only,35,0,"Miguel Hidalgo, Mexico City, Mexico","Origen cultural, Género"
Twitter,https://twitter.com/JuampiSwan/statuses/1501361487620812806,JuampiSwan,3/8/2022 7:57 pm,An10n3l4 La discriminación es un atentado contra los derechos humanos y un delito. Puede consultarlo en la Comisión de derechos humanos y en la Constitución,Mention,Text Only,351,0,"Magdalena Contreras, Mexico City, Mexico",
Twitter,https://twitter.com/Alfredo54267811/statuses/1501360680326287361,Alfredo54267811,3/8/2022 7:54 pm,"CaraveoBertha @ChumelTorres @FGRMexico Bien hecho, este tipo se pasa de la raya, con su racismo,  su clasismo, sus calumnias y mentiras.
@CaraveoBertha
@ChumelTorres
@FGRMexico",Mention,Text Only,32,1,"Colonia Lindavista, México, Mexico",
Twitter,https://twitter.com/LAFD_PABLOO/statuses/1501357211502592006,LAFD_PABLOO,3/8/2022 7:40 pm,"ChumelTorres  mira nomás, racista, clasista, ignorante, misógino y ahora violentador de mujeres. Haa pero que fácil soltaste la palabra violador al  hablar de @FelixSalMac  cuando era puro ataque politico ese circo para dejarlo fuera de la gobernatura. https://t.co/4mYorJoRsV | QT: El comunicador @ChumelTorres es un violentador de mujeres. 

Por eso lo denuncié hoy por violencia política de género ante la @FGRMexico en el marco del #DiaInternacionalDeLaMujer. 

Lo hago para que ninguna mujer o niña vuelva a sufrir de su machismo y odio. 

#8Marzo2022 💚💜🔥 https://t.co/mgO1MtAoFd",Mention,Link,96,0,Mexico,Género
Twitter,https://twitter.com/xavierslp/statuses/1501356224511717386,xavierslp,3/8/2022 7:36 pm,Maxcava24136249 @Vilchesyawaraka @sandralsq @LeonKrauze Asi que de nacionalista nada tenia el indio ladino.,Mention,Text Only,956,1,"Baytown, Texas, United States",Origen cultural
Instagram,https://www.instagram.com/p/Ca3PAe5MBy8/,,3/8/2022 7:31 pm,"Hoy 8M digo que ha sido una intensa lucha por ganarnos nuestro lugar, algo que de por sí deberíamos tener por derecho propio al nacer, no tener que ganarselo luchando y así con muchas cosas más como el racismo por ejemplo. Se sigue luchando, aún veo personas muertas en manos de sus parejas, golpeadas, discriminadas en sus trabajos por ser mujer, lo he vivido incluso, la homofobia también la he visto, hay tanta ignorancia en este planeta aún, por lo mismo hay que seguir, no rendirse, no bajar los brazos , seguir informando y educando. Siento que de igual manera se puede celebrar este día, por lo que hemos logrado, no obstante, también recordar todo por lo que hemos pasado tanto nosotras como nuestras compañeras y también lo que aún nos queda por seguir luchando 💪🏻💕
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#8m #feminismo #igualdad #racismo #bulma #dragonball #cosplay #cosplayer #chile #anime #otaku #cosplaychile #insta #cosplayfun #photo",Message,Photo,0,5238,,Género
Twitter,https://twitter.com/latazzadememo/statuses/1501354071952744449,latazzadememo,3/8/2022 7:27 pm,"PANINO
 Homenaje a un gran amigo, hermano migrante, navegante de las letras, y pluma de coplero. @Jaime_Loredo
""PANINO CALIGULA""
Orgia de quesos, con vegetales osgarmicos, con una apasionada salsa pomodoro con chile seco. *orgánicos #latazzadememo #porn #antojosTazza #poesia https://t.co/xE75KCALhx",Message,Photo,2547,2,Mexico,Migración
Twitter,https://twitter.com/Gmo_CR/statuses/1501351839878557698,Gmo_CR,3/8/2022 7:19 pm,realpate8 Clasista!,Mention,Text Only,7920,0,Costa Rica,
