Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/mquinterot/statuses/1505567342226464768,mquinterot,3/20/2022 11:30 am,"Eollux Si dan ganas de llorar de ver miles de millones tirados por un acomplejado, con ideas de los 60s y cero conocimiento de economía. Que impuso un aeropuerto tan lejos y tan chafa cómo está 4ta!! 👎🏻👎🏻👎🏻",Mention,Text Only,1180,0,"Aguascalientes, Aguascalientes, Mexico",,,0,0,0,0,Backlash
Twitter,https://twitter.com/Cecilia_171193/statuses/1505539745354600449,Cecilia_171193,3/20/2022 9:40 am,"Está de la chingada perder tu cartera y tener casi 15 mil pesos en ella, pobre mi negro😞",Message,Text Only,687,0,"Merida, Yucatán, Mexico",Women,,0,0,0,0,
Twitter,https://twitter.com/LuiguiBenini/statuses/1505528408155238400,LuiguiBenini,3/20/2022 8:55 am,"Los puntos más importantes para cualquier país
-Educación 
-Seguridad y
-Salud
Están desdibujados y con ello todo, ahora con el #AIFA seremos la burla mundial y muestra clara de que lamentablemente #Mexico le quedó gigante al ego de un pobre imbecil resentido",Mention,Text Only,711,0,"Colonia Lindavista, México, Mexico",,,0,0,0,0,Backlash
Twitter,https://twitter.com/JuampiSwan/statuses/1505497167099703298,JuampiSwan,3/20/2022 6:51 am,"AmparoNatera @Nuria48458486 @Belisa82754991 @Maria12051990 @vitoquiles @vox_es @solidaridad_esp Leo bastante. Por eso es que tus discursos de discriminación, calumnia y difamación son tan evidentes",Mention,Text Only,365,0,"Magdalena Contreras, Mexico City, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/JuampiSwan/statuses/1505495678897692672,JuampiSwan,3/20/2022 6:45 am,"AmparoNatera @Nuria48458486 @Belisa82754991 @Maria12051990 @vitoquiles @vox_es @solidaridad_esp Y dije cuáles.
Si tienes una obsesión con la sexualidad ajena pues ese es tu problema, pero ya que tengas que mentir y difamar para justificar tu discriminación pues denota un serio problema.",Mention,Text Only,365,1,"Magdalena Contreras, Mexico City, Mexico",Men,,0,0,1,0,
Twitter,https://twitter.com/gnajjjj/statuses/1505480894164865025,gnajjjj,3/20/2022 5:46 am,"El Partido se llama Morena

¿Ya podemos llamarles racistas, o todavía no?",Message,Text Only,1759,12,"Colonia Lindavista, México, Mexico",,,12,0,0,0,
Twitter,https://twitter.com/JuampiSwan/statuses/1505453429853929473,JuampiSwan,3/20/2022 3:57 am,"MissOaks3 @Clarice07935355 @boreasafn @georgeorwell67 😂😂😂😂
De pena ajena que no sepan que el matrimonio igualitario no tiene nada que ver con los niños. Dejen de usar a los niños como estandarte para justificar su discriminación, dan pena.",Mention,Text Only,365,0,"Magdalena Contreras, Mexico City, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/IoMhero/statuses/1505449735296937985,IoMhero,3/20/2022 3:42 am,"arielvmachado Lee todos los comentarios en el tuit, clasismo puro, los pobres, jodidos y prietos no tienen derecho a utilizar un aeropuerto, menos a subirse a un avión, como si fuera un gran logro…",Mention,Text Only,1408,2,"Miguel Aleman (La Doce), Sonora, Mexico",,,1,0,1,0,
Twitter,https://twitter.com/JuampiSwan/statuses/1505449536281526272,JuampiSwan,3/20/2022 3:41 am,Clarice07935355 @MissOaks3 @boreasafn @georgeorwell67 La opresión y la discriminación son atentados contra los derechos humanos y ustedes son culpables de ambos,Mention,Text Only,365,1,"Magdalena Contreras, Mexico City, Mexico",Men,,0,0,1,0,
Twitter,https://twitter.com/varamburucano/statuses/1505432205622980608,varamburucano,3/20/2022 2:33 am,"Encima de desvío de recursos para este dizque medio de comunicación, son clasistas y racistas. https://t.co/AvyLPAnG2Z | QT: Por si se perdieron la inauguración del #AIFA mejor conocido como #FelipeAtoles, aquí se los tengo. 

Vía @latinus_us  

Video 1 https://t.co/0cLYvWk0QK",Message,Link,7086,36,"Colonia del Valle, Mexico City, Mexico",,,31,0,3,2,
Twitter,https://twitter.com/JuampiSwan/statuses/1505430387660660737,JuampiSwan,3/20/2022 2:25 am,"MissOaks3 @boreasafn @Clarice07935355 @georgeorwell67 No es ""mi línea"", es la realidad. Ustedes son los que hablan sobre hechos ficticios. 
Las mentiras no son ""puntos de vista"", pero eso ustedes no lo entienden y creen que mentir para justificar su discriminación es un ""punto de vista"".
🙄",Mention,Text Only,365,0,"Magdalena Contreras, Mexico City, Mexico",Men,,0,0,0,0,
Twitter,https://twitter.com/AntonioApontete/statuses/1505423928889597954,AntonioApontete,3/20/2022 2:00 am,Ariacantarell La oposición recurriendo a bajesas y clasismo.,Mention,Text Only,5414,1,Mexico,Men,,1,0,0,0,
Twitter,https://twitter.com/JeraWhite/statuses/1505407272725348353,JeraWhite,3/20/2022 12:53 am,"La mayoría de los comentarios de los que critican el #AIFA están llenos de clasismo, que asco de personas.",Message,Text Only,0,0,"Miguel Aleman (La Doce), Sonora, Mexico",,,0,0,0,0,
Twitter,https://twitter.com/renesoriano/statuses/1505402886469328896,renesoriano,3/20/2022 12:36 am,"Esta chingon todo el nado sincronizado de los derefachos, Panazis y demás fauna alegando que el AIFA es una porquería, el clasismo que emana de su ser me provoca repulsión y náuseas. 
Espero que por el bien de México jamás regresen y nos gobiernen de nuevo.",Message,Text Only,2193,7,"Teziutlan, Puebla, Mexico",,,6,0,0,1,
