Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Gender,Age,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/jorgerey290583/statuses/1492212841755066368,jorgerey290583,2/11/2022 2:04 pm,DonVocero Gana demasiado para lo que hace este inútil resentido y vengativo por eso está ganando porque no lo he visto trabajar o alguna obra que le sirva al pueblo....3 años culpando alos anteriores (priypan)pero esos anteriores ahora tienen la camisa de morena..deja lo investigo,Mention,Text Only,8,0,"Guadalajara, Jalisco, Mexico",Men,,0,0,0,0,Backlash
Twitter,https://twitter.com/Sibadongo/statuses/1492208722059354113,Sibadongo,2/11/2022 1:47 pm,"CarlosV41480085 @eljinetedelalba Tocayo en las Free Way la Velocidad es 75 millas y las Gandolas no tienen su canal, anda donde les da la Gana, ahí es Donde el Indio es Bruto.....",Mention,Text Only,335,2,"Danville, Georgia, United States",Men,,0,0,1,1,Origen cultural
Twitter,https://twitter.com/martinezmau/statuses/1492204763999571971,martinezmau,2/11/2022 1:31 pm,"Ya enseñó el cobre el rey de los resentidos e intento de dictador… 
Una mentada de madre a todos los que lo siguen defendiendo. 
Y toda mi solidaridad a @CarlosLoret 🇲🇽",Message,Text Only,92292,3029,"Guttenberg, New Jersey, United States",Men,,2457,0,44,528,Backlash
Twitter,https://twitter.com/drmarcocamacho/statuses/1492204222636560384,drmarcocamacho,2/11/2022 1:29 pm,agusantonetti Todos sabíamos que ese merolico resentido era un peligro pero no entendieron los que lo eligieron 🤷🏻 nos quedan 3 años pauperrimos para que se largue,Mention,Text Only,1132,11,"Monterrey, Nuevo León, Mexico",,,9,0,0,2,Backlash
Twitter,https://twitter.com/_Das_ein/statuses/1492202282104016897,_Das_ein,2/11/2022 1:22 pm,"Eh, salió clasista el tipitapeño. Se verán cosas. https://t.co/PGunxt77no | QT: Ya dejen de escuchar cánticos de gente de escasos recursos despechados .",Message,Link,1113,7,Nicaragua,Men,,6,0,1,0,
Twitter,https://twitter.com/FerMaldonadoMX/statuses/1492201700932964352,FerMaldonadoMX,2/11/2022 1:19 pm,"Grabe error estratégico: victimizar a quien se ha prestado a montajes cínicos, clasista y deshonesto en un país de cínicos.",Mention,Text Only,21914,8,"Casa Blanca, Puebla, Mexico",Men,,3,0,3,2,
Twitter,https://twitter.com/Monomalteco/statuses/1492196958555062274,Monomalteco,2/11/2022 1:00 pm,Ya me está fallando tuiter. Ahí vienen los nets resentidos. https://t.co/ycsp0xBFqc,Message,Photo,906,1,Guatemala,Men,,0,0,1,0,Backlash
Twitter,https://twitter.com/hsdguzman/statuses/1492185956685910020,hsdguzman,2/11/2022 12:17 pm,ballartaexiste Manix hasta las palomas son racistas jajajsjajjajsja https://t.co/OGgkNpSYq2,Mention,Photo,15,1,"Paradise, Nevada, United States",Men,,1,0,0,0,
Twitter,https://twitter.com/enrike5/statuses/1492183239657541633,enrike5,2/11/2022 12:06 pm,"jorgeberry Jorge, esa carta es Fake, pero, patético, resentido y afectado de sus facultades mentales si está",Mention,Text Only,659,1,Mexico,Men,,0,0,1,0,Backlash
Twitter,https://twitter.com/LibertyAndFree4/statuses/1492179757974310920,LibertyAndFree4,2/11/2022 11:52 am,"marcorubio Educadores enfrentar multas, amenazas de acoso físico,  interrogatorios debido a sus planes de estudio. HB 437 de Mississippi prohíbe a los profesores usar materiales que luchen con la idea de que el estado de Magnolia es ""fundamentalmente, institucional o sistémicamente racista"" https://t.co/NxIhw3j9Kz",Mention,Photo,327,0,"Miami Beach, Florida, United States",Women,,0,0,0,0,
Twitter,https://twitter.com/LibertyAndFree4/statuses/1492177791672012801,LibertyAndFree4,2/11/2022 11:44 am,"marcorubio RACISMO EN AMÉRICA: Un resultado del bombardeo legislativo de Trump es un efecto escalofriante en los educadores, ya que soportan el escrutinio por cualquier intento de transmitir una versión honesta de la raza y el racismo en los EE. UU. https://t.co/JeCueXOeQ0",Mention,Photo,327,0,"Miami Beach, Florida, United States",Women,,0,0,0,0,
Twitter,https://twitter.com/LibertyAndFree4/statuses/1492176858867240965,LibertyAndFree4,2/11/2022 11:41 am,"marcorubio En otras palabras, “los intentos legislativos recientes de restringir la enseñanza de la historia del racismo son simplemente la última iteración de una tradición de explotar el poder legislativo para mantener la desigualdad racial en la educación pública”, dijo Janel George, GTU https://t.co/eyZVT00dtM",Mention,Photo,327,0,"Miami Beach, Florida, United States",Women,,0,0,0,0,
Twitter,https://twitter.com/loggie95/statuses/1492175373437652997,loggie95,2/11/2022 11:35 am,"andymgt29 Que chinguen a su madre esas personas, son racistas e ignorantes. Y yo acá bronceándome con cremas xddd intercambiemos piel, pls.

Nombre, a mi también en algún momento me afectaron mucho las redes pero ya aprendí que es cuestión de saber filtrar bien, también hay contenido+",Mention,Text Only,164,2,"Jardines de la Silla (Jardines), Nuevo León, Mexico",Women,,1,0,1,0,
Twitter,https://twitter.com/lizzy_sarobey/statuses/1492173340836089858,lizzy_sarobey,2/11/2022 11:27 am,"Grupo Wakía Arawaka Taína Estapas indígena Música por Lizzy Sarobey y el grupo W.A.T 2005-2011
Dejando nuestra existencia #culturapuertorriqueña #tainos #indigenas #ponce #puertorico #nativoamericano https://t.co/fDQM12dQag",Message,Video,7,1,"El Paraiso, Puerto Rico, United States",,,1,0,0,0,
Twitter,https://twitter.com/guerraruben5018/statuses/1492171871927902214,guerraruben5018,2/11/2022 11:21 am,"anisleyfuentes1 @AlejandroGilF @DiazCanelB @GeoPAlvarez @FelixmSuarez @EVilluendasC @IzquierdoAlons1 @WongCorrales @Gina17703133 @ChapleImbert @NorbertoRamosI6 @MEP_CUBA No  para nada ohhh!! No es humillante, sencillamente, es la marcación definitiva de clases sociales, los que reciben remesas y sobreviven y los  de a pie, condenados para siempre a deambular en busca de un sustento, casa día más difícil, en el contexto económico actual!!",Mention,Text Only,11,0,"Palm Springs North, Florida, United States",Men,,0,0,0,0,
Twitter,https://twitter.com/rcmacmel/statuses/1492169767045664773,rcmacmel,2/11/2022 11:12 am,jairocalixto @ChumelTorres Te digo que @ChumelTorres es un pendejo resentido ni lo peles bro y si necesitas aquí tengo la dirección de su papá,Mention,Text Only,28,0,Mexico,,,0,0,0,0,Backlash
Twitter,https://twitter.com/LibertyAndFree4/statuses/1492167555502518280,LibertyAndFree4,2/11/2022 11:04 am,"marcorubio RACISMO IN AMERICA; En 2021, legislaturas estatales presentaron 54 proyectos “destinados a restringir la enseñanza y la capacitación en las escuelas K-12 y las agencias e instituciones estatales” que “tienen como objetivo las discusiones sobre raza, racismo, género y  historia,"" https://t.co/bcNtSc0IfO",Mention,Photo,327,12,"Miami Beach, Florida, United States",Women,,10,0,1,1,
Twitter,https://twitter.com/joelnrosell/statuses/1492166678842589185,joelnrosell,2/11/2022 11:00 am,Mi hermano es racista,Message,Text Only,84,0,"Ives Estates, Florida, United States",Men,,0,0,0,0,
Twitter,https://twitter.com/LibertyAndFree4/statuses/1492165532229017611,LibertyAndFree4,2/11/2022 10:56 am,"marcorubio RACISMO EN AMÉRICA: Trumpismo, un CULTO racista, quiere desterrar de las aulas cualquier discusión sobre la historia de la opresión racial en nuestro pais impactando de tal censura en los maestros y nuestros estudiantes. Aprendes lo te imponemos como el castrismo.   NEOFASCISMO https://t.co/eHuP3PbOFw",Mention,Photo,327,0,"Miami Beach, Florida, United States",Women,,0,0,0,0,
