Network,Message URL,Profile,Date,Message,Type,Content Type,Followers,Engagements,Location,Likes,Dislikes,Comments,Shares,Theme
Twitter,https://twitter.com/JAVIER00073526/statuses/1523874923919384577,JAVIER00073526,5/9/2022 11:57 pm,"alitomorenoc @caroviggiano Cómo se les llama a los indigenas de Hidalgo?

Lengua indígenaNúmero de hablantes 2020Náhuatl234,450Otomí120,492Tepehua1,656Totonaco891

Maldita ignorante ahora cambiar las raíces de un verdadero y digno Estado de Hidalgo estúpida estudia ahí está la traición https://t.co/ItrzPCXOoo",Mention,Photo,14,0,"Magdalena Contreras, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/Andres_Vingback/statuses/1523874751890046983,Andres_Vingback,5/9/2022 11:57 pm,"PedroAl04480139 @YHOpinion @lopezdoriga Un chairo hablando de ignorancia jajaja el chiste se cuenta sólo! Que se siente ser una mascota del cacas patético retrasado mental hidrocefálico? Es un honor lamerle el culo a Obrador? Ustedes son el verdadero peligro de México! Gente huevona, ignorante, acomplejada y resentida https://t.co/QIO3D79Csj",Mention,Photo,365,0,"Tlalpan, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/sergeicsl/statuses/1523874022760480768,sergeicsl,5/9/2022 11:54 pm,"Si fuéramos un país nuclear EUA y sus líderes racistas.
NO ESTUVIERAN JODIENDO A MÉXICO 
Pero nuestros gobernantes centralistas siempre han sido cobardes y lamehuevos de EUA
desde el imbecil de SantaAnna y Benito Juárez malditos vendepatrias de mierda.
#MexicoNuclearYa https://t.co/HGGSU2PL6q",Message,Photo,426,0,Mexico,0,0,0,0,
Twitter,https://twitter.com/Padre_Kino1/statuses/1523868296914817024,Padre_Kino1,5/9/2022 11:31 pm,reyna_magy Se vale participar así ?? Yo y mi compadre Juan  @Hermanosol3  cuando nos dan caguamas Indio adulterada. https://t.co/qq3UxdDjBh,Mention,Photo,120,0,"Pachuca de Soto, Hidalgo, Mexico",0,0,0,0,Origen cultural
Twitter,https://twitter.com/angel_mg44/statuses/1523865698371522560,angel_mg44,5/9/2022 11:21 pm,"Opino lo mismo que este camarada. | QT: 📝 Mientras la bandera Roja exista, el NaziFascismo no tendrá lugar, no avanzará; es la ideología y símbolo de contención contra el racismo supremacista, la derecha y extrema derecha en todas sus formas. 

Gracias URSS, Gracias Russia❗️9 de Mayo #DiaDeLaVictoria sobre el Nazismo https://t.co/ZW3XsHwcGi",Message,Text Only,401,0,"Venustiano Carranza, Mexico City, Mexico",0,0,0,0,
Twitter,https://twitter.com/Josemarioesteb1/statuses/1523862427275866113,Josemarioesteb1,5/9/2022 11:08 pm,jairocalixto Otro resentido. No pudo llegar a la Presidencia y eso lo tiene muy enojado.,Mention,Text Only,1,0,"Colonia del Valle, Mexico City, Mexico",0,0,0,0,Backlash
Twitter,https://twitter.com/salvadormanriq/statuses/1523861373062725634,salvadormanriq,5/9/2022 11:03 pm,"Lamentable el casi racismo-clasismo de este señor, nada de respeto y amor a esta patria que lo ha hecho millonario. | QT: Tlayudame a entender si de verdad cree que el problema es el bloqueo y qué es correcto quitarle la libertad a la gente hasta para decidir que comer… Tlayudeme a entender si usted lo considera correcto cenadora:

¿Si o no? https://t.co/j71AR2Nhz7",Message,Text Only,2401,0,"Villahermosa, Tabasco, Mexico",0,0,0,0,
Twitter,https://twitter.com/osoaguilo/statuses/1523860376051404801,osoaguilo,5/9/2022 11:00 pm,CervezaJerome ¿Alguien ya dijo que es indio y no hindú?,Mention,Text Only,2470,0,"Oaxaca de Juarez, Oaxaca, Mexico",0,0,0,0,Origen cultural
Instagram,https://www.instagram.com/p/CdXIYyLtKXY/,,5/9/2022 10:51 pm,"#FÚTBOLxSDM📲⚽️
𝗖𝗢𝗡𝗧𝗥𝗔 𝗘𝗟 𝗥𝗔𝗖𝗜𝗦𝗠𝗢 ❌
La Conmebol anunció modificación en las sanciones relacionadas al racismo ✍🏻
➡️ Suspensión de mínimo 5 partidos o 2 meses para los jugadores que tengan conductas racistas. 
➡️ Multa económica de 100.000 dólares 💵 para los clubes. 
.
.
.
.
.
.
.
.
.
#Viral #Conmebol #Futbol #Racismo",Message,Photo,0,99,,99,0,0,0,
Twitter,https://twitter.com/vela1234457/statuses/1523854252329873410,vela1234457,5/9/2022 10:35 pm,"Mejor que ya dejen de producir delincuentes, nada más de ver el dibujo da terror, cuánta mierd4 abortada | QT: Hablemos de discriminación por embarazo e impactos de pandemia en la desigualdad de género.
Con @EvaOArceo (@IBERO_mx), Itzel Mayans (@institutomora), @ebecabouquets (@GIRE_mx). La titular de @SeMujeresCDMX @GomezSaracibar y la diputada @mariselazuiga1.
¡Acompáñanos hoy!
⏰10:00 https://t.co/YzwF9a4DQr",Message,Text Only,127,0,"Colonia Lindavista, México, Mexico",0,0,0,0,
