RevistaSemana 
larepublica_co 
Portafolioco 
RevistaDinero  
NoticiasCaracol  
NoticiasRCN 
Citytv 
InstitucionalTV 
Canal1Colombia  
SenalColombia  
CABLENOTICIAS 
CanalCapital 
CanalTreceCo 
NoticiasUno 
NTN24 
lafm 
BluRadioCo  
dinersrevista 
colombiareports 
mundoinstante 
pulzo 
PublimetroCol 
RedPrensaVerde
elheraldoco 
LaLibertadCo 
CanalTelecaribe 
QhuboQuilla 
adnbarranquilla
ELTIEMPO 
elespectador 
ElNuevoSiglo 
malpensante 
RevistaLNE 
citypaperbogota 
BogotaPost  
QhuboBogota  
adncolombia 
Gatopardocom 
Diarioccidente 
elpaiscali 
TelepacificoTV 
Noti90Minutos 
Redsonoraradio 
QhuboCali 
adncali
laopinioncucuta 
QhuboCucuta 
TvcucutaC 
noticucuta 
TUKANAL 
CucutaEsNoticia 
LaVozDelNorteAM 
CaracolCucuta 
elcolombiano 
Teleantioquia 
Telemedellin 
minuto30com 
QhuboMedallo 
ADNMedellin 
hora13noticias  
Centropolis_med 
elpalpitar 
ActualidadPol 
DespiertaAnt 
vivirpoblado 
