D_C_Bogota 
Agencia_API 
ArgumentosyOpi 
lasillavacia 
noticucuta 
2minutosco 
Elsonajeroweb 
siaradio 
noticierolaruta 
AlertaPaisa 
orientesetuguia 
acuariotv 
cncnoticias 
Informativoan 
MiPutumayo 
zonacero 
AtlanticoEmi 
primeronoticiaa1 
primeronoticiaa 
CVnoticiastv 
LaLibertadCo 
CanalTropicaltv 
elambito 
NorteSeguro2018 
areacucuta 
CucutaDenuncia 
WALLTHER_VE 
noticucuta 
NorteNoticiasCu 
EnterateCali 
norte_periodico 
canalguacari 
TwiterosCali 
YaCelacanto 
HablaManizales 
tintiando 
NCTNOTICIAS 
1anoticiass 
OsBoyaca 
aldianoticiasco 
LaIndependenci1 
Prensalibcasan 
elconucoacacias 
EIExpedienteCol 
hablalonoticias 
7NNoticias 
ElPregonar 
45SegundosCom 
AlPuntoCol 
ColmundoRadio 
ElVenezolanoCo 
ExtraColombia 
HSBnoticias 
rodrigoprensa 
Yariguies1027 
BLUSantanderes 
Villavoalreves 
Region_365 
ElInformador_SM 
Seguimiento 
elrotativoc 
vernoticiassan1 
DiarioDelNorte 
NoticiasGuajira 
laregionalnet 
elpaisvallenato 
Soyquintopoder 
PrensaLlanera 
croniquindio 
agenciaNDS 
ASAKERW 
transmisora720 
pvirtualcom 
SuperPopayan 
HoyDiarioMag 
CHICACERETE 
el_regionales 
NoticiasBQ 
elhomenoticias 
HSBnoticias 
HablemeC 
elhomenoticias 
confidencialcol 
AlertaTolima 
QHUBOTOLIMA 
hesnoticia 
norte_periodico 
RioNoticiasCo 
CHICACERETE 
Coneolavozdelpu 
lalenguacaribe 
diarioriente 
noticiasyabq 
laotraverdadBAQ 
noticoopercom 
noticiasyabq 
latertuliakilla 
diarioelfrente 
TvcucutaC 
HoyNoticias2 
lareporteria 
CasanareonlineC 
LATALPAZ 
Cambio24Oficial 
LaJornadaco 
RadioMagdalena 
EventosStaMta 
LaGuajira_ 
hernandomontes6 
TuValledupar 
croniquindio 
SomosAgroNotas 
SASComCreativa 
CostaNoticiasTV 
duvanedo 
AlInformativo 
NPIndependiente 
kesedice 
atntelevision 
anticorrupto26_ 
FronteraInforma 
Horadelaverdad 
SantamartaAD 
LGCundinamarca 
Caracol1170AM 
lavibrante 
Newsradio7arauc 
ImpactoMundo_ 
ElkanalTunja 
fronteravivanew 
momento24co 
AnalisisUrbano 
SeguridadCucuta 
CucutaSeguridad 
FunemeTito 
El_NuevoOriente 
radiosantafentc 
kienyke 
periodispublico 
