elcolombiano.com 
teleantioquia.co 
telemedellin.tv 
minuto30.com 
qhubo.com 
diarioadn.co 
h13n.com 
centropolismedellin.com 
elpalpitar.com 
actualidad.com.co
laopinion.com.co 
qhubo.com 
tvcucuta.com 
noticucuta3.blogspot.com 
tukanal.tv 
cucutaesnoticia.com  
despiertaantioquia.com 
vivirenelpoblado.com
occidente.co 
elpais.com.co 
telepacifico.com 
90minutos.co 
redsonoraradio.net 
qhubocali.com 
diarioadn.co 
eltiempo.com 
elespectador.com 
elcolombiano.com 
elnuevosiglo.com.co 
elmalpensante.com 
lanotaeconomica.com.co 
thecitypaperbogota.com 
thebogotapost.com 
qhubobogota.com 
diarioadn.co 
gatopardo.com 
elheraldo.co 
diariolalibertad.com 
telecaribe.co 
qhubo.com 
diarioadn.co
semana.com 
larepublica.co 
portafolio.co 
dinero.com 
noticias.caracoltv.com 
noticias.canalrcn.com 
citytv.com.co 
canalinstitucional.tv 
noticias.canal1.com.co 
senalcolombia.tv 
cablenoticias.tv 
canalcapital.gov.co 
canaltrece.com.co 
noticiasuno.com 
ntn24.com 
lafm.com.co 
bluradio.com 
revistadiners.com.co 
colombiareports.com 
elmundoalinstante.com 
pulzo.com 
publimetro.co 
redprensaverde.org 
