Region,XenofobiaDepartamento,MigracionDepartamento,TasaXenofobia,Informe
Arequipa,1.983999967575073,2.270421981811523,7.1019473,1
Lima Province,89.69599914550781,87.75844573974609,8.3066616,1
Cusco,.9919999837875366,.8816415667533875,9.1445427,1
La Libertad,3.007999897003174,3.646198987960815,6.7047076,1
Loreto,.2879999876022339,.2782762348651886,8.4112148,1
Resto,4.032000035047531,5.165015339851379,,1
Junín,.2879999876022339,.2860783934593201,8.181818,0
Tacna,.4799999892711639,.4993368089199066,7.8125,0
Cajamarca,.4160000085830688,.7281995415687561,4.6428571,0
Piura,.9279999732971191,1.367974877357483,5.513308,0
Lambayeque,1.02400004863739,1.180723547935486,7.0484581,0
Ancash,.3840000033378601,.4473225772380829,6.9767442,0
Ica,.5120000243186951,.655379593372345,6.3492064,0
