elcomerciocom
eluniversocom
lahoraecuador
ecuavisa
EcuavisaInforma
teleamazonasec
tctelevision
LaPosta_Ecu
wambraEC
radio_pichincha
Primicias
revistaPlanV
Gkecuador
radiocentroec
Presidencia_Ec
ComunicacionEc
CancilleriaEc
MinInteriorEc
MinGobiernoEc
InclusionEc
MunicipioQuito
SeguridaddeQuito
InclusionQuito
alcaldiagye
LassoGuillermo
juancaholguin
GustavoManriq_M
henrycucalon
EstebanBernalB
CapiZapataEc
AlexandraVelaP
panchojimenezs
CarilloRosero
diegoordonezg
CynthiaViteri6
santiguarderas
VillaFernando_
etorrescobo
marcelaguinaga
SEspindolaEc
AnderssonBoscan
Martinminguchi
Polificcion
CarlosVerareal
Jefferson_Diaz
alexismoncayo
fabriciovelav
betzaj
efebrescorderob
djrd1974
OIMEcuador
ACNUREcuador
HIAS_ECUADOR
