Region,area,TasaXenofobia,XenofobiaDepartamento,MigracionDepartamento
Arequipa,4,10.334347,2.125,2.2225225
Cajamarca,6,1.6129032,.125,.83766806
La Libertad,13,8.0696201,3.1875,4.2694049
Lambayeque,14,7.1428571,.8125,1.2294805
Lima Province,15,11.111943,92.75,90.218201
Piura,20,8.8397789,1,1.2227252
