Region,area,TasaXenofobia,XenofobiaDepartamento,MigracionDepartamento
Ancash,2,7.563025,.41058394,.41891083
Arequipa,4,6.0278206,1.7791971,2.2776077
Cajamarca,6,3.2863851,.31934306,.74981517
Cusco,8,6.8783069,.59306568,.66532898
Ica,11,6.875,.5018248,.56324148
La Libertad,13,3.6898062,2.6916058,5.6288943
Lambayeque,14,8.6776857,.95802921,.85190272
Lima Province,15,8.1112776,91.514595,87.059525
Loreto,16,6.6666665,.3649635,.42243108
Piura,20,4.9095607,.86678833,1.3623402
