Region,XenofobiaDepartamento,MigracionDepartamento,TasaXenofobia,Informe
Resto,1.9375,3.289873719215393,,1
Lima Province,92.75,90.21820068359375,11.111943,1
La Libertad,3.1875,4.269404888153076,8.0696201,1
Arequipa,2.125,2.222522497177124,10.334347,1
Lambayeque,.8125,1.229480504989624,7.1428571,0
Piura,1,1.22272515296936,8.8397789,0
Cajamarca,.125,.8376680612564087,1.6129032,0
