Date,Count
"2020-09-22 02:00:00",15
"2020-09-23 02:00:00",11
"2020-09-24 02:00:00",19
"2020-09-25 02:00:00",15
"2020-09-26 02:00:00",9
"2020-09-27 02:00:00",12
"2020-09-28 02:00:00",18
"2020-09-29 02:00:00",17
"2020-09-30 02:00:00",14
"2020-10-01 02:00:00",18
"2020-10-02 02:00:00",14
"2020-10-03 02:00:00",7
"2020-10-04 02:00:00",13
"2020-10-05 02:00:00",13
"2020-10-06 02:00:00",16
"2020-10-07 02:00:00",16
"2020-10-08 02:00:00",18
"2020-10-09 02:00:00",15
"2020-10-10 02:00:00",9
"2020-10-11 02:00:00",7
"2020-10-12 02:00:00",5
"2020-10-13 02:00:00",17
"2020-10-14 02:00:00",19
"2020-10-15 02:00:00",12
"2020-10-16 02:00:00",8
"2020-10-17 02:00:00",20
"2020-10-18 02:00:00",28
"2020-10-19 02:00:00",10
"2020-10-20 02:00:00",10
"2020-10-21 02:00:00",21
"2020-10-22 02:00:00",16
"2020-10-23 02:00:00",10
"2020-10-24 02:00:00",8
"2020-10-25 02:00:00",17
"2020-10-26 02:00:00",13
"2020-10-27 02:00:00",12
"2020-10-28 02:00:00",14
"2020-10-29 02:00:00",11
"2020-10-30 02:00:00",9
"2020-10-31 02:00:00",12
"2020-11-01 02:00:00",9
"2020-11-02 03:00:00",15
"2020-11-03 03:00:00",18
"2020-11-04 03:00:00",14
"2020-11-05 03:00:00",41
"2020-11-06 03:00:00",24
"2020-11-07 03:00:00",59
"2020-11-08 03:00:00",59
"2020-11-09 03:00:00",33
"2020-11-10 03:00:00",26
"2020-11-11 03:00:00",20
"2020-11-12 03:00:00",12
"2020-11-13 03:00:00",19
"2020-11-14 03:00:00",15
"2020-11-15 03:00:00",30
"2020-11-16 03:00:00",9
"2020-11-17 03:00:00",30
"2020-11-18 03:00:00",25
"2020-11-19 03:00:00",17
"2020-11-20 03:00:00",7
"2020-11-21 03:00:00",14
"2020-11-22 03:00:00",13
"2020-11-23 03:00:00",15
"2020-11-24 03:00:00",15
"2020-11-25 03:00:00",6
"2020-11-26 03:00:00",16
"2020-11-27 03:00:00",7
"2020-11-28 03:00:00",12
"2020-11-29 03:00:00",14
"2020-11-30 03:00:00",6
"2020-12-01 03:00:00",21
"2020-12-02 03:00:00",13
"2020-12-03 03:00:00",10
"2020-12-04 03:00:00",7
"2020-12-05 03:00:00",16
"2020-12-06 03:00:00",19
"2020-12-07 03:00:00",14
"2020-12-08 03:00:00",22
"2020-12-09 03:00:00",9
"2020-12-10 03:00:00",10
"2020-12-11 03:00:00",13
"2020-12-12 03:00:00",12
"2020-12-13 03:00:00",16
"2020-12-14 03:00:00",5
"2020-12-15 03:00:00",11
"2020-12-16 03:00:00",15
"2020-12-17 03:00:00",15
"2020-12-18 03:00:00",9
"2020-12-19 03:00:00",20
"2020-12-20 03:00:00",10
"2020-12-21 03:00:00",9
"2020-12-22 03:00:00",12
"2020-12-23 03:00:00",12
"2020-12-24 03:00:00",7
"2020-12-25 03:00:00",26
"2020-12-26 03:00:00",10
"2020-12-27 03:00:00",15
"2020-12-28 03:00:00",11
"2020-12-29 03:00:00",13
"2020-12-30 03:00:00",8
"2020-12-31 03:00:00",15
"2021-01-01 03:00:00",5
"2021-01-02 03:00:00",14
"2021-01-03 03:00:00",9
"2021-01-04 03:00:00",16
"2021-01-05 03:00:00",18
"2021-01-06 03:00:00",13
"2021-01-07 03:00:00",7
"2021-01-08 03:00:00",22
"2021-01-09 03:00:00",24
"2021-01-10 03:00:00",14
"2021-01-11 03:00:00",10
"2021-01-12 03:00:00",7
"2021-01-13 03:00:00",14
"2021-01-14 03:00:00",14
"2021-01-15 03:00:00",8
"2021-01-16 03:00:00",11
"2021-01-17 03:00:00",20
"2021-01-18 03:00:00",24
"2021-01-19 03:00:00",12
"2021-01-20 03:00:00",31
"2021-01-21 03:00:00",9
"2021-01-22 03:00:00",17
"2021-01-23 03:00:00",12
"2021-01-24 03:00:00",8
"2021-01-25 03:00:00",6
"2021-01-26 03:00:00",16
"2021-01-27 03:00:00",18
"2021-01-28 03:00:00",25
"2021-01-29 03:00:00",15
"2021-01-30 03:00:00",18
"2021-01-31 03:00:00",6
"2021-02-01 03:00:00",8
"2021-02-02 03:00:00",8
"2021-02-03 03:00:00",10
"2021-02-04 03:00:00",13
"2021-02-05 03:00:00",17
"2021-02-06 03:00:00",13
"2021-02-07 03:00:00",17
"2021-02-08 03:00:00",19
"2021-02-09 03:00:00",12
"2021-02-10 03:00:00",17
"2021-02-11 03:00:00",11
"2021-02-12 03:00:00",12
"2021-02-13 03:00:00",6
"2021-02-14 03:00:00",22
"2021-02-15 03:00:00",8
"2021-02-16 03:00:00",9
"2021-02-17 03:00:00",20
"2021-02-18 03:00:00",15
"2021-02-19 03:00:00",8
"2021-02-20 03:00:00",3
"2021-02-21 03:00:00",6
"2021-02-22 03:00:00",9
"2021-02-23 03:00:00",18
"2021-02-24 03:00:00",12
"2021-02-25 03:00:00",13
"2021-02-26 03:00:00",15
"2021-02-27 03:00:00",11
"2021-02-28 03:00:00",22
"2021-03-01 03:00:00",14
"2021-03-02 03:00:00",24
"2021-03-03 03:00:00",12
"2021-03-04 03:00:00",13
"2021-03-05 03:00:00",15
"2021-03-06 03:00:00",11
"2021-03-07 03:00:00",20
"2021-03-08 03:00:00",15
"2021-03-09 03:00:00",7
"2021-03-10 03:00:00",10
"2021-03-11 03:00:00",23
"2021-03-12 03:00:00",11
"2021-03-13 03:00:00",10
"2021-03-14 03:00:00",25
"2021-03-15 02:00:00",16
"2021-03-16 02:00:00",22
"2021-03-17 02:00:00",26
"2021-03-18 02:00:00",8
"2021-03-19 02:00:00",6
"2021-03-20 02:00:00",5
"2021-03-21 02:00:00",9
"2021-03-22 02:00:00",6
"2021-03-23 02:00:00",13
"2021-03-24 02:00:00",12
"2021-03-25 02:00:00",12
"2021-03-26 02:00:00",23
"2021-03-27 02:00:00",15
"2021-03-28 02:00:00",22
"2021-03-29 02:00:00",9
"2021-03-30 02:00:00",121
"2021-03-31 02:00:00",15
"2021-04-01 02:00:00",41


