Region,area,TasaXenofobia,XenofobiaDepartamento,MigracionDepartamento
Ancash,2,14.678899,.40816328,.37801284
Arequipa,4,15.450644,2.7551022,2.4241374
Cusco,8,18.686869,.94387758,.68666553
Ica,11,11.052631,.53571427,.65892142
La Libertad,13,6.4953952,3.4183674,7.1544995
Lambayeque,14,14.912281,.86734694,.79070574
Lima Province,15,14.089485,89.489799,86.346451
Piura,20,13.664597,1.1224489,1.1166985
Tacna,23,14.0625,.45918366,.44390497
